,PLAYER,POS,VOR Rank,ADP Rank,Sleeper Score
1,Jonathan Taylor,RB,1,1,0
2,Derrick Henry,RB,2,4,2
3,Cooper Kupp,WR,3,6,3
4,Christian McCaffrey,RB,4,2,-2
5,Ja'Marr Chase,WR,5,10,5
6,Austin Ekeler,RB,6,3,-3
7,Justin Jefferson,WR,7,8,1
8,Deebo Samuel,WR,8,22,14
9,Josh Allen,QB,9,20,11
10,Joe Mixon,RB,10,9,-1
11,Alvin Kamara,RB,11,11,0
12,Davante Adams,WR,12,13,1
13,Dalvin Cook,RB,13,6,-7
14,Najee Harris,RB,14,6,-8
15,Mark Andrews,TE,15,24,9
16,Travis Kelce,TE,16,16,0
17,Stefon Diggs,WR,17,14,-3
18,Tyreek Hill,WR,18,23,5
19,Mike Evans,WR,19,25,6
20,Aaron Jones,RB,20,20,0
21,CeeDee Lamb,WR,21,20,-1
22,Patrick Mahomes II,QB,22,28,6
23,James Conner,RB,23,25,2
24,Nick Chubb,RB,24,14,-10
25,Javonte Williams,RB,25,18,-7
26,Saquon Barkley,RB,26,17,-9
27,Tee Higgins,WR,27,33,6
28,D'Andre Swift,RB,28,12,-16
29,A.J. Brown,WR,29,27,-2
30,Mike Williams,WR,30,41,11
31,Michael Pittman Jr.,WR,31,31,0
32,David Montgomery,RB,32,35,3
33,Justin Herbert,QB,33,32,-1
34,Gabe Davis,WR,34,62,28
35,Lamar Jackson,QB,35,39,4
36,Brandin Cooks,WR,36,60,24
37,DJ Moore,WR,37,37,0
38,Kyler Murray,QB,38,51,13
39,Keenan Allen,WR,39,30,-9
40,Jalen Hurts,QB,40,53,13
41,DK Metcalf,WR,41,52,11
42,Elijah Mitchell,RB,42,45,3
43,Breece Hall,RB,43,42,-1
44,Cam Akers,RB,44,35,-9
45,Damien Harris,RB,45,77,32
46,Diontae Johnson,WR,46,44,-2
47,Terry McLaurin,WR,47,43,-4
48,Courtland Sutton,WR,48,40,-8
49,Amon-Ra St. Brown,WR,49,57,8
50,Josh Jacobs,RB,49,46,-3
51,J.K. Dobbins,RB,51,48,-3
52,Chris Godwin,WR,52,63,11
53,Travis Etienne Jr.,RB,53,35,-18
54,Kyle Pitts,TE,53,29,-24
55,Jerry Jeudy,WR,55,65,10
56,Darnell Mooney,WR,56,66,10
57,Jaylen Waddle,WR,57,50,-7
58,Tyler Lockett,WR,58,103,45
59,Marquise Brown,WR,59,61,2
60,Miles Sanders,RB,60,80,20
61,Elijah Moore,WR,61,88,27
62,Michael Thomas,WR,62,67,5
63,Darren Waller,TE,63,46,-17
64,Dak Prescott,QB,64,84,20
65,Hunter Renfrow,WR,65,89,24
66,Antonio Gibson,RB,66,56,-10
67,Amari Cooper,WR,67,71,4
68,Allen Robinson II,WR,68,54,-14
69,JuJu Smith-Schuster,WR,68,69,1
70,Adam Thielen,WR,70,68,-2
71,Rashaad Penny,RB,71,74,3
72,Dalton Schultz,TE,72,58,-14
73,Robert Woods,WR,73,98,25
74,AJ Dillon,RB,74,49,-25
75,Dameon Pierce,RB,75,58,-17
76,George Kittle,TE,76,38,-38
77,Rashod Bateman,WR,77,78,1
78,Joe Burrow,QB,78,54,-24
79,Clyde Edwards-Helaire,RB,79,64,-15
80,Christian Kirk,WR,80,94,14
81,Brandon Aiyuk,WR,81,92,11
82,DeVonta Smith,WR,82,86,4
83,Chase Claypool,WR,83,109,26
84,Drake London,WR,84,93,9
85,Devin Singletary,RB,85,74,-11
86,Tony Pollard,RB,86,76,-10
87,Rhamondre Stevenson,RB,88,82,-6
88,Dallas Goedert,TE,88,78,-10
89,Aaron Rodgers,QB,88,85,-3
90,Allen Lazard,WR,88,86,-2
91,Matthew Stafford,QB,91,97,6
92,Treylon Burks,WR,92,105,13
93,Trey Lance,QB,93,99,6
94,Cordarrelle Patterson,RB,94,80,-14
95,T.J. Hockenson,TE,95,72,-23
96,Chase Edmonds,RB,95,69,-26
97,Dawson Knox,TE,97,90,-7
98,DeAndre Hopkins,WR,98,83,-15
99,Mecole Hardman Jr.,WR,99,143,44
100,Marquez Valdes-Scantling,WR,100,126,26
101,Hunter Henry,TE,101,117,16
102,Kadarius Toney,WR,102,112,10
103,Jakobi Meyers,WR,103,139,36
104,Russell Wilson,QB,104,73,-31
105,Zach Ertz,TE,105,95,-10
106,Michael Gallup,WR,106,115,9
107,DeVante Parker,WR,107,138,31
108,Tyler Boyd,WR,108,120,12
109,Chris Olave,WR,109,100,-9
110,Tyler Higbee,TE,110,146,36
111,Cole Kmet,TE,111,108,-3
112,Russell Gage,WR,112,137,25
113,Kirk Cousins,QB,113,110,-3
114,Mike Gesicki,TE,114,125,11
116,Noah Fant,TE,116,147,31
117,DJ Chark Jr.,WR,117,130,13
118,Nico Collins,WR,118,149,31
120,Derek Carr,QB,119,102,-17
121,Garrett Wilson,WR,121,122,1
122,Irv Smith Jr.,TE,122,133,11
123,Pat Freiermuth,TE,123,104,-19
125,David Njoku,TE,125,136,11
126,Gerald Everett,TE,126,150,24
127,Robert Tonyan,TE,127,140,13
128,Jahan Dotson,WR,128,134,6
