Player,Team,Position,Redraft PPR ADP,Redraft Half PPR ADP,Redraft SF ADP,Dynasty PPR ADP,Dynasty Half PPR ADP,Dynasty SF ADP,IDP ADP
Justin Jefferson,MIN,WR,1.3,1.2,5.5,1.2,1.8,5.1,2
Christian McCaffrey,SF,RB,2.4,2.7,7.9,4.6,4.8,13,7.9
Ja'Marr Chase,CIN,WR,3.5,3.5,10.6,2,2.1,7.6,4.9
Austin Ekeler,LAC,RB,4.1,4.8,15.3,13.7,15.4,29.7,20.6
Travis Kelce,KC,TE,5.1,6.7,9,17.9,18.8,21.4,13.4
Cooper Kupp,LA,WR,6.7,5.6,13.7,19.1,23.3,31.5,25.3
Tyreek Hill,MIA,WR,7.1,7.5,14.6,14.8,15.2,23.9,18.8
Bijan Robinson,ATL,RB,7.7,7.4,15.3,3.3,3.2,11.4,7.8
Stefon Diggs,BUF,WR,9.2,10.1,17.6,20.4,21.6,27.2,23.4
Saquon Barkley,NYG,RB,10.5,9.3,18.8,18.7,17.2,25.9,21.3
CeeDee Lamb,DAL,WR,11.2,14.7,21.4,6.6,6.8,12.7,10.1
A.J. Brown,PHI,WR,12,11.6,19,7.9,7.7,14.1,12.2
Patrick Mahomes,KC,QB,13.5,15.3,1.7,5.9,5.5,1.1,1.5
Nick Chubb,CLE,RB,14.6,13.2,27.5,26.4,28.7,44.7,28.8
Davante Adams,LV,WR,15.4,15.6,23.9,27.5,31,45.7,30
Amon-Ra St. Brown,DET,WR,17.6,18.8,26.8,15.6,14.6,17.4,19.7
Jonathan Taylor,IND,RB,18,15,24,7.7,8,20.3,15.5
Derrick Henry,TEN,RB,18.1,17.6,28.4,38,38.6,53.3,39.1
Garrett Wilson,NYJ,WR,19.3,19.9,25.8,10,11.1,15.7,15.4
Josh Jacobs,LV,RB,20.3,20.7,31.9,23.2,23.6,39.1,27.6
Jaylen Waddle,MIA,WR,21.5,21,31.1,15.3,12.4,19.7,22.6
Josh Allen,BUF,QB,22.7,22.4,2.1,9.5,10.8,2.5,3.1
Tony Pollard,DAL,RB,23.3,23,36.2,36.6,37,50.3,36.8
Jalen Hurts,PHI,QB,24,23.7,3.4,11.5,13.6,3.1,5.9
Mark Andrews,BAL,TE,25.9,26.5,29.7,34.7,35.1,34.2,33.9
Chris Olave,NO,WR,26.5,28.8,34.3,23.8,22.1,23.4,26
Rhamondre Stevenson,NE,RB,27.6,25.9,38.9,39.6,41.2,49.1,39.1
Tee Higgins,CIN,WR,28.7,29.6,37.4,25,25.1,31.2,31.7
DeVonta Smith,PHI,WR,29.6,31.8,39.2,30.7,27.2,33.6,29.2
Breece Hall,NYJ,RB,30,27.9,35,12.9,9.5,18.5,23.7
DK Metcalf,SEA,WR,31.5,33.5,43.5,35.4,34.6,43.3,35.4
Najee Harris,PIT,RB,31.7,30.2,39.3,28.7,30.9,46.5,37.5
Travis Etienne,JAC,RB,33.6,31.8,46.9,29.8,26.4,38.3,34
Joe Burrow,CIN,QB,34.9,34.1,4.5,21.7,20.2,4.9,6.7
Lamar Jackson,BAL,QB,35.8,35.5,6.2,33.1,36.4,8,9.9
Jahmyr Gibbs,DET,RB,36.4,36.2,44.7,22.2,19.7,26.4,38.1
Deebo Samuel,SF,WR,37.2,38.4,54.2,43.3,43.8,58.5,45.1
Kenneth Walker,SEA,RB,38.7,37.6,49.8,31.3,29.8,37.7,31.6
Keenan Allen,LAC,WR,39.7,39.3,50.8,72,76.2,99.6,83.8
Calvin Ridley,JAC,WR,39.8,42.8,52.4,55.1,59.9,62.1,55.1
Joe Mixon,CIN,RB,41.1,39.2,58.8,49.8,50.8,73.7,58.9
Aaron Jones,GB,RB,42.7,41.5,55.9,61.4,62.8,90.2,67.8
T.J. Hockenson,MIN,TE,43.4,45.9,41.9,45.2,45.3,47.6,44.3
Amari Cooper,CLE,WR,44.1,43.9,55.4,70.4,71.3,79.7,70
Justin Fields,CHI,QB,45.4,44.8,11.8,41.1,42.6,10.2,14.6
George Kittle,SF,TE,46.5,51.2,53.9,52.7,57.3,60.6,51.9
Justin Herbert,LAC,QB,47.4,46.3,7.4,31.3,31.5,6.1,11.9
DeAndre Hopkins,TEN,WR,47.9,47.3,60,73.9,75.1,94.4,77
Terry McLaurin,WAS,WR,49.1,47.3,61,50.9,54,70,57
Dameon Pierce,HOU,RB,50.8,52,65.2,47.1,47.2,57.1,46.2
DJ Moore,CHI,WR,51.7,53.9,67.4,57.1,55.1,59.5,53.1
Miles Sanders,CAR,RB,52.8,50.5,68.5,59.9,58.9,74,63.9
Drake London,ATL,WR,53.9,55.9,62.8,40,39.7,42.2,41
Jerry Jeudy,DEN,WR,54.4,54.9,63.6,53.3,55.3,55.3,54.4
J.K. Dobbins,BAL,RB,55.2,49.2,63.8,58.5,53.8,63.1,60
Trevor Lawrence,JAC,QB,55.9,58.1,12.4,44.5,44.4,9,17.4
Christian Watson,GB,WR,57.2,55.5,71.4,55.7,52.8,52.6,52.5
