Player,Team,Position,Redraft PPR ADP,Redraft Half PPR ADP,Redraft SF ADP,Dynasty PPR ADP,Dynasty Half PPR ADP,Dynasty SF ADP,IDP ADP
Justin Jefferson,MIN,WR,1.9,1.7,5.8,1.2,1.7,5.1,2.1
Christian McCaffrey,SF,RB,2,2.7,8.5,4.9,4.2,13.4,7.2
Ja'Marr Chase,CIN,WR,3,3.9,8.7,2.7,2.7,7.5,5.2
Austin Ekeler,LAC,RB,4.4,4.1,15.2,13.2,14.7,30,20.5
Travis Kelce,KC,TE,5.3,6.9,10.5,18,18,21.3,16.8
Cooper Kupp,LA,WR,6.2,5.1,13.2,19.8,23.8,32.4,26.9
Tyreek Hill,MIA,WR,7,7.7,14.8,14.1,16.3,24.1,17.5
Bijan Robinson,ATL,RB,8.5,8.4,16.4,3.6,3.6,11.7,9
Stefon Diggs,BUF,WR,8.9,11.8,17.1,21.7,21.8,29.4,24.4
Saquon Barkley,NYG,RB,10.7,8.4,17.5,17.6,17.1,25,21.5
Jonathan Taylor,IND,RB,11.7,10.4,19.6,8,8.2,19.2,15.8
CeeDee Lamb,DAL,WR,12.9,13.5,22.7,6.2,6.5,12,11.4
A.J. Brown,PHI,WR,13.2,12.2,20.7,7.7,7.4,14.5,12.2
Patrick Mahomes,KC,QB,14.2,15.8,1.7,5.8,5.5,1.6,1.4
Davante Adams,LV,WR,15.4,16.9,23.2,28.8,31.5,44.3,32.7
Nick Chubb,CLE,RB,16.4,14.6,26.5,30.6,30.2,46.1,28.2
Derrick Henry,TEN,RB,17.5,17.9,29.8,38.4,39.1,53.5,41.4
Amon-Ra St. Brown,DET,WR,17.8,17.6,26.3,16.1,15.4,17.9,19.6
Garrett Wilson,NYJ,WR,19.4,19.3,25.2,11.2,11.8,15.9,17.3
Josh Jacobs,LV,RB,20.4,20.2,31.2,24.3,24.8,39.6,26.3
Jaylen Waddle,MIA,WR,21.6,21.8,32.8,15,12.5,20.8,22.3
Josh Allen,BUF,QB,22.1,22,2.4,10.2,10,2.3,3
Jalen Hurts,PHI,QB,23.2,23.8,3.5,12.8,13.1,3.7,4.3
Tony Pollard,DAL,RB,24.8,24.5,37.3,37.9,37.2,50.6,37.9
Mark Andrews,BAL,TE,25,26.6,28.5,34.6,35.4,34.6,33.9
Rhamondre Stevenson,NE,RB,26.8,26.4,38.4,39.2,41.8,49.1,38.3
Breece Hall,NYJ,RB,26.9,25.2,33.3,8.4,8.4,17,23.5
Chris Olave,NO,WR,28.2,29.2,35.5,23.9,22,23.7,25.4
Tee Higgins,CIN,WR,29.3,28.6,35.8,25.5,25.5,31.2,31.6
DeVonta Smith,PHI,WR,30.9,31.8,39.8,29.5,29.7,33.7,29.4
Najee Harris,PIT,RB,31.3,30.3,40,26.3,28.7,47.2,35.6
DK Metcalf,SEA,WR,32.5,33.8,43.8,35.4,34.3,43.9,35.5
Travis Etienne,JAC,RB,33.1,32.7,44.3,26.3,26.3,38.9,34.3
Joe Burrow,CIN,QB,34.8,34.4,4.1,20.7,19.8,4.8,6.9
Jahmyr Gibbs,DET,RB,35.5,37.6,45,22.2,20.8,26.6,39.9
Lamar Jackson,BAL,QB,35.9,35.8,6.7,33.5,35.6,8.5,8.2
Kenneth Walker,SEA,RB,37.3,35.5,49.1,31.7,26.6,35.6,30.1
Deebo Samuel,SF,WR,38,38,52.9,43.6,43.6,58,46.6
Keenan Allen,LAC,WR,39.2,39.3,50.5,73.4,76.2,98.5,89.7
Aaron Jones,GB,RB,40.3,40.6,57.4,61.5,62.7,89.1,69.3
T.J. Hockenson,MIN,TE,41.3,44.5,41.9,46.8,44.4,48.3,44.3
Joe Mixon,CIN,RB,42.4,41.3,59,50.9,52,73,61.5
Calvin Ridley,JAC,WR,43.3,43.4,55.9,58.6,60.1,62.5,57.3
Justin Fields,CHI,QB,44.6,44.5,11.7,42.4,42.5,10.2,13.9
